Candidate,Cement (kg/m3),Fly ash (kg/m3),Slag (kg/m3),Silica fume (kg/m3),Water (kg/m3),Pred. strength (MPa),Pred. embodied carbon,Pred. carbonation (mm)
Low-carbon,155.84599263224698,48.35028510180207,223.64999999999984,58.9362554613396,140.2971689730854,67.49407958984375,138.34754943847656,1.6279687881469729
Balanced,243.1589689072714,51.33644610852386,223.35710022897717,45.89850673365971,114.84410127088876,86.87736511230469,189.42523193359372,0.2048711776733398
High-strength,228.8810930436938,18.048021036435653,206.74180815925004,71.3,112.5,90.45013427734376,253.8767242431641,0.0863895416259765
